反馈id,端,内容,反馈产品,问题类型,问题标签,问题样张,组件,版本号,渠道号,traceid,guid,hdid,来源字单元id,deviceid,设备类型,设备型号名称,设备系统版本,设备系统语言,云开关状态,ABI类型,SVN号,VC值,反馈时间,是否处理,最后处理人昵称,用户附件数量,用户附件列表,内部附件列表,附加信息,备注,系统语言,安装位置,CPU,显卡信息,设备名称,内存,硬盘,分辨率,系统版本,时区,客户端模式,云同步状态
fb_6955c6b0ab7987004cfd4d8d,pc,网络没问题，一直断网什么意思，浪费时间,PC端个人中心,,,,wpsoffice,12.1.0.24034,12012.2019,,B3547F84DFAB4433A88F5AAFCC1DA295,43472695f5904798092013e1b4317305,,,,Win32,Win32,,,,,,2026/1/1 8:58,未处理,,1,https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767228996083/o_1jdrgtn59sm61r3o11kns1n5be.png,,,,zh-CN,C:\Users\Administrator\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1408MB),"Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz, 2.40GHz, LENOVO 20H3A004CD","Intel(R) HD Graphics 520, 1024MB VRAM, Driver v21.20.16.4727 NVIDIA GeForce 920MX, VRAM, Driver v31.0.15.1654 OrayIddDriver Device, VRAM, Driver v17.50.19.949",SC-202006300934,DDR4-2133 SDRAM:6.7/7.9GB,C:107.2/145GB,1366x768,Microsoft Windows 10 专业版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6955c5cd12fa9b004c7d6840,pc,为什么文档不能续写了？,PC端个人中心,,,,wpsoffice,12.1.0.24034,20.2706,,088D662D8DD64BF5BBE93714541B3345,1ab3cdc4102e61c8f47b4e4bd6529059,,,,Win32,Win32,,,,,,2026/1/1 8:54,未处理,,0,,,,,zh-CN,D:\WPS\WPS Office\12.1.0.24034 (1370MB),"12th Gen Intel(R) Core(TM) i5-12400, 2.50GHz, ASUSTeK COMPUTER INC. PRIME H610M-F D4 R2.0","OrayIddDriver Device, VRAM, Driver v17.50.19.949 Intel(R) UHD Graphics 730, 2048MB VRAM, Driver v32.0.101.7040",DESKTOP-5BAUFNJ,DDR4-3200 SDRAM:8.2/15.7GB,"C:80.4/120GB, D:55.2/113GB",1920x1080,Microsoft Windows 11 专业版(64 位) Build 26100 v10.0.26100,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6955c5822de9f70053172ed4,pc,如何安装Batang字体,云字体,,,,wps,12.1.0.24034,12012.2019,,175B54EF5DEF4C2ABC65341250AD1747,f1fd571dfd3cf0fa3a8475a54aac3800,,,,Win32,Win32,,,,,,2026/1/1 8:53,未处理,,0,,,,,zh-CN,D:\WPS Office\12.1.0.24034 (1341MB),"Intel(R) Core(TM) i5-14600K, 3.50GHz, Micro-Star International Co., Ltd. B760M GAMING PLUS WIFI (MS-7D99)","Intel(R) UHD Graphics 770, 2048MB VRAM, Driver v32.0.101.7026",WIN-0HO1KDP682A,Unknown Memory-4800 SDRAM:8.4/31.7GB,"C:83.1/495GB, D:313.8/1863GB",3840x2160,Microsoft Windows 11 专业版(64 位) Build 26100 v10.0.26100,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6955c2cc2de9f70053172ec8,pc,没有smartArt功能，怎么处理,PC端个人中心,,,,wpsoffice,12.1.0.24034,50.513,,83579CF74E63473A94455E3D8B1D12FC,bf1a555d1ed647cf522becb578a04455,,,,Win32,Win32,,,,,,2026/1/1 8:41,未处理,,0,,,,,zh-CN,C:\Users\wp168\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1395MB),"13th Gen Intel(R) Core(TM) i5-13400, 2.50GHz, LENOVO 333B","Intel(R) UHD Graphics 730, 2048MB VRAM, Driver v32.0.101.6129",清水人生,DDR4-3200 SDRAM:8.2/15.7GB,C:83.9/140GB,1920x1080,Microsoft Windows 11 家庭中文版(64 位) Build 22621 v10.0.22621,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_6955c2c9ab7987004cfd4d6e,pc,又很多PDF解析不了,WPS OFFICE,,,,home,12.1.0.23542,20.2706,1767228105325_1.28_efc50326d161,8E0D0FA0FCED44648221BAE361C66168,bb6255dcadc755eb5adc7b889a32f84a,,,,Win32,Win32,,,,,,2026/1/1 8:41,未处理,,1,https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767227195517/o_1jdrg0ovgek616rd6j21bk8mfee.png,,,,zh-CN,D:\Users\Administrator\AppData\Local\Kingsoft\WPS Office\12.1.0.23542 (1397MB),"Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz, 2.30GHz, INTEL X99-XD3","OrayIddDriver Device, VRAM, Driver v17.1.58.818 NVIDIA GeForce GTX 1060, VRAM, Driver v32.0.15.6094",CHINAMI-2385RE3,DDR3-1600 SDRAM:30.8/63.9GB,"C:108.2/150GB, D:250.5/327GB",2560x1440,Microsoft Windows 10 专业版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6955bbf72de9f70053172ebd,pc,说好的以前的签到小时活动兑换天数，咋没有兑现，差不多有一个月的剩余兑换小时呢,PC端个人中心,,,,wpsoffice,12.1.0.24034,20.2706,,39CD1F5176DD4595A8CFD0402726279D,3a7bf18fff6add31aacbe777e7a8c14a,,,,Win32,Win32,,,,,,2026/1/1 8:12,未处理,,0,,,,,zh-CN,C:\Users\Administrator\AppData\Local\Kingsoft\WPS Office\12.1.0.24034 (1370MB),"Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz, 2.90GHz, ONDA 9D4-VH-D","OrayIddDriver Device, VRAM, Driver v17.50.19.949 NVIDIA GeForce GT 730, VRAM, Driver v23.21.13.8813",PC-202510111232,DDR4-3200 SDRAM:7.3/16.0GB,C:56.1/150GB,1680x1050,Microsoft Windows 10 专业版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,auto
fb_6955ae2b2de9f70053172eb0,pc,使用的罗技键盘，上面有计算器快捷键，在未打开WPS软件时，能通过键盘快捷键启动计算器；打开WPS软件时，按动计算器快捷键没有任何反应。 回馈方式：邮箱1579210095@qq.com；联系电话18678969663。,PC端个人中心,,,,wpsoffice,12.1.0.24031,12012.2019,,71414A287F0943128EF43C86B9DF9802,cd23f1478e26fb09a65fb6bef7d3eada,,,,Win32,Win32,,,,,,2026/1/1 7:13,未处理,,1,https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767222450034/o_1jdraug966jatvc1pli132v1l00e.mp4,,,,zh-CN,D:\WPS Office\12.1.0.24031 (1383MB),"11th Gen Intel(R) Core(TM) i5-11500 @ 2.70GHz, 2.71GHz, Dell Inc. 0GK35Y","NVIDIA T600, VRAM, Driver v32.0.15.7344 Intel(R) UHD Graphics 750, 2048MB VRAM, Driver v32.0.101.7026",DELL,DDR4-3200 SDRAM:6.0/15.7GB,"C:44.3/161GB, D:9.0/77GB",1920x1080,Microsoft Windows 10 家庭中文版(64 位) Build 19045 v10.0.19045,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_695582e926195c0053e7209a,pc,为什么交了这几次款，文档朗读的功能不可用，AI声线出现后，反而不要加钱才能朗读？我只要系统声线，怎样操作？请回复并指教！！,AI朗读,,,,wps,12.1.0.24034,20.2706,,0451EEA49AC8488DBA7C3F3567751983,18daf7b18baea7e5b353b7c71979565d,怎么还原删除的文件,,,Win32,Win32,,,,,,2026/1/1 4:09,未处理,,4,"https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767211495368/o_1jdr0d2hoqpo17tk1r9jvgr94mh.jpg
https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767211495368/o_1jdr0d2ho1sl3e6vnrg1oi810s0j.jpg
https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767211495368/o_1jdr0d2hp6kdgre1m871jdv1e1fl.jpg
https://admin-get.wps.cn/api/admin/v1/feedback/ks3_file/userfile/1767211495368/o_1jdr0d2hp1t3819u816il14o7grmn.jpg",,,,zh-CN,D:\安装软件路径\WPS Office\12.1.0.24034 (1358MB),"Intel(R) Pentium(R) CPU G3250 @ 3.20GHz, 3.20GHz, LENOVO SHARKBAY","标准 VGA 图形适配器, VRAM, Driver v6.1.7600.16385",PC-20250405FWKP,Unknown Memory-1600 SDRAM:3.5/3.9GB,"C:20.5/60GB, D:18.8/59GB",1280x1024,Microsoft Windows 7 旗舰版 (64-bit) Build 7601 v6.1.7601,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,manual
fb_69557925ab7987004cfd4d4b,pc,关于同账号多端同步的问题，现在更新的越来越难用了，打开文件后就显示文档有修改，点击立即更新至云端，手机和电脑哪一个点击更新同步后，另一个就会开始重复上面的内容，哪怕只是点开文件什么都没做，这个见了鬼的交互逻辑对多端操作的体验是非常恶劣的，在同时打开且未关闭文档的时候，都不清楚到底哪一个才是较新的一份，像原来那样点开未操作的时候不显示需要同步不好吗？ 这个交互逻辑在电脑端也遇到过，只是电脑端可以找老版本客户端回退，我就是因为这个交互回退到23版的，哪曾想现在又出现这种情况，那肯定就是手机版更新后的缘故，可手机版上哪请去找稳定经典的app去？一个需要稳定的办公软件，东改一榔头西改一棒槌的，更难用了,WPS云文档,,,,home,11.1.0.14309,12012.2019,,C3C412A8F44C4ECDB7F72D4CE0EDEEF5,74b025a6b677c5062ee623d3d454d72c,,,,Win32,Win32,,,,,,2026/1/1 3:27,未处理,,0,,,,,zh-CN,,,,,,,,,,,manual
fb_695576a5ab7987004cfd4d45,pc,我要移除,WPS OFFICE,,,,home,12.1.0.23542,50.513,1767208475100_2.3_4f1bbfbb27de,349E9BFFA3B44E63ABD5E7F99CFF7034,4742d2d97c994a68183bba7fb8c093df,,,,Win32,Win32,,,,,,2026/1/1 3:16,未处理,,0,,,,,zh-CN,C:\Program Files (x86)\Kingsoft\WPS Office\12.1.0.23542 (1307MB),"Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz, 3.20GHz, ASUSTeK COMPUTER INC. B85M-K","NVIDIA GeForce GTX 1050 Ti, VRAM, Driver v22.21.13.8253",XZ-202103051612,Unknown Memory-1600 SDRAM:2.5/3.9GB,C:45/45GB,1440x900,Microsoft Windows 7 旗舰版 (64-bit) Build 7601 v6.1.7601,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,Integration,unknown
